mz,composition
3427.0456,Gc_51+Sx2
3137.069,Gc_52
3217.0258,Gc_52+S
3296.9826,Gc_52+Sx2
3153.064,Gc_53
3233.0208,Gc_53+S
3312.9776,Gc_53+Sx2
3299.1219,Gc_54
3445.1798,Gc_54+Fuc
3591.2377,Gc_54+Fucx2
3737.2956,Gc_54+Fucx3
3883.3535,Gc_54+Fucx4
3379.0787,Gc_54+S
3459.0355,Gc_54+Sx2
3445.1798,Gc_55
3591.2377,Gc_55+Fuc
3737.2956,Gc_55+Fucx2
3883.3535,Gc_55+Fucx3
4029.4114,Gc_55+Fucx4
3525.1366,Gc_55+S
3605.0934,Gc_55+Sx2
3315.1168,Gc_56
3395.0736,Gc_56+S
3475.0304,Gc_56+Sx2
3461.1747,Gc_57
3607.2326,Gc_57+Fuc
3753.2905,Gc_57+Fucx2
3899.3484,Gc_57+Fucx3
4045.4063,Gc_57+Fucx4
3541.1315,Gc_57+S
3621.0883,Gc_57+Sx2
3590.2173,Gc_58
3670.1741,Gc_58+S
3750.1309,Gc_58+Sx2
3736.2752,Gc_59
3882.3331,Gc_59+Fuc
4028.391,Gc_59+Fucx2
4174.4489,Gc_59+Fucx3
4320.5068,Gc_59+Fucx4
3816.232,Gc_59+S
3896.1888,Gc_59+Sx2
2075.7031,Gc_6
2221.761,Gc_6+Fuc
2155.6599,Gc_6+S
2235.6167,Gc_6+Sx2
3574.2224,Gc_60
3720.2803,Gc_60+Fuc
3866.3382,Gc_60+Fucx2
3654.1792,Gc_60+S
3734.136,Gc_60+Sx2
3720.2803,Gc_61
3866.3382,Gc_61+Fuc
4012.3961,Gc_61+Fucx2
4304.5119,Gc_61+Fucx4
3800.2371,Gc_61+S
3880.1939,Gc_61+Sx2
3606.2122,Gc_62
3752.2701,Gc_62+Fuc
3898.328,Gc_62+Fucx2
3686.169,Gc_62+S
3766.1258,Gc_62+Sx2
1605.5395,Gc_66
1685.4963,Gc_66+S
1765.4531,Gc_66+Sx2
1751.5974,Gc_67
1897.6553,Gc_67+Fuc
2043.7132,Gc_67+Fucx2
1831.5542,Gc_67+S
1911.511,Gc_67+Sx2
2011.6983,Gc_7
2091.6551,Gc_7+S
2171.6119,Gc_7+Sx2
2157.7562,Gc_8
2303.8141,Gc_8+Fuc
2449.872,Gc_8+Fucx2
2595.9299,Gc_8+Fucx3
2237.713,Gc_8+S
2317.6698,Gc_8+Sx2
2173.7511,Gc_9
2253.7079,Gc_9+S
2333.6647,Gc_9+Sx2
1830.6009,Gc_1+Na
1910.5577,Gc_1+S+Na
1990.5145,Gc_1+Sx2+Na
2341.791,Gc_10+Na
2487.8489,Gc_10+Fuc+Na
2633.9068,Gc_10+Fucx2+Na
2779.9647,Gc_10+Fucx3+Na
2421.7478,Gc_10+S+Na
2501.7046,Gc_10+Sx2+Na
2299.7441,Gc_11+Na
2379.7009,Gc_11+S+Na
2459.6577,Gc_11+Sx2+Na
2445.802,Gc_12+Na
2591.8599,Gc_12+Fuc+Na
2737.9178,Gc_12+Fucx2+Na
2525.7588,Gc_12+S+Na
2605.7156,Gc_12+Sx2+Na
2283.7491,Gc_13+Na
2363.7059,Gc_13+S+Na
2443.6627,Gc_13+Sx2+Na
2429.807,Gc_14+Na
2575.8649,Gc_14+Fuc+Na
2721.9228,Gc_14+Fucx2+Na
2509.7638,Gc_14+S+Na
2589.7206,Gc_14+Sx2+Na
2357.7859,Gc_15+Na
2437.7427,Gc_15+S+Na
2517.6995,Gc_15+Sx2+Na
2503.8438,Gc_16+Na
2649.9017,Gc_16+Fuc+Na
2795.9596,Gc_16+Fucx2+Na
2942.0175,Gc_16+Fucx3+Na
2583.8006,Gc_16+S+Na
2663.7574,Gc_16+Sx2+Na
2486.8285,Gc_17+Na
2566.7853,Gc_17+S+Na
2646.7421,Gc_17+Sx2+Na
2632.8864,Gc_18+Na
2778.9443,Gc_18+Fuc+Na
2925.0022,Gc_18+Fucx2+Na
3071.0601,Gc_18+Fucx3+Na
2712.8432,Gc_18+S+Na
2792.8,Gc_18+Sx2+Na
2236.7596,Gc_19+Na
2316.7164,Gc_19+S+Na
2396.6732,Gc_19+Sx2+Na
1976.6588,Gc_2+Na
2122.7167,Gc_2+Fuc+Na
2268.7746,Gc_2+Fucx2+Na
2056.6156,Gc_2+S+Na
2136.5724,Gc_2+Sx2+Na
2382.8176,Gc_20+Na
2528.8755,Gc_20+Fuc+Na
2674.9334,Gc_20+Fucx2+Na
2820.9913,Gc_20+Fucx3+Na
2967.0492,Gc_20+Fucx4+Na
2462.7744,Gc_20+S+Na
2542.7312,Gc_20+Sx2+Na
2398.8125,Gc_21+Na
2478.7693,Gc_21+S+Na
2558.7261,Gc_21+Sx2+Na
2544.8704,Gc_22+Na
2690.9283,Gc_22+Fuc+Na
2836.9862,Gc_22+Fucx2+Na
2983.0441,Gc_22+Fucx3+Na
3129.102,Gc_22+Fucx4+Na
2624.8272,Gc_22+S+Na
2704.784,Gc_22+Sx2+Na
2502.8234,Gc_23+Na
2582.7802,Gc_23+S+Na
2662.737,Gc_23+Sx2+Na
2648.8813,Gc_24+Na
2794.9392,Gc_24+Fuc+Na
2940.9971,Gc_24+Fucx2+Na
3087.055,Gc_24+Fucx3+Na
2728.8381,Gc_24+S+Na
2808.7949,Gc_24+Sx2+Na
2560.8653,Gc_25+Na
2640.8221,Gc_25+S+Na
2720.7789,Gc_25+Sx2+Na
2706.9232,Gc_26+Na
2852.9811,Gc_26+Fuc+Na
2999.039,Gc_26+Fucx2+Na
3145.0969,Gc_26+Fucx3+Na
3291.1548,Gc_26+Fucx4+Na
2786.88,Gc_26+S+Na
2866.8368,Gc_26+Sx2+Na
2664.8763,Gc_27+Na
2744.8331,Gc_27+S+Na
2824.7899,Gc_27+Sx2+Na
2810.9342,Gc_28+Na
2956.9921,Gc_28+Fuc+Na
3103.05,Gc_28+Fucx2+Na
3249.1079,Gc_28+Fucx3+Na
2890.891,Gc_28+S+Na
2970.8478,Gc_28+Sx2+Na
2794.9392,Gc_29+Na
2940.9971,Gc_29+Fuc+Na
3087.055,Gc_29+Fucx2+Na
3233.1129,Gc_29+Fucx3+Na
2874.896,Gc_29+S+Na
2954.8528,Gc_29+Sx2+Na
1992.6537,Gc_3+Na
2072.6105,Gc_3+S+Na
2152.5673,Gc_3+Sx2+Na
2689.9079,Gc_30+Na
2769.8647,Gc_30+S+Na
2849.8215,Gc_30+Sx2+Na
2835.9658,Gc_31+Na
2982.0237,Gc_31+Fuc+Na
3128.0816,Gc_31+Fucx2+Na
3274.1395,Gc_31+Fucx3+Na
3420.1974,Gc_31+Fucx4+Na
2915.9226,Gc_31+S+Na
2995.8794,Gc_31+Sx2+Na
2705.9028,Gc_32+Na
2785.8596,Gc_32+S+Na
2865.8164,Gc_32+Sx2+Na
2851.9607,Gc_33+Na
2998.0186,Gc_33+Fuc+Na
3144.0765,Gc_33+Fucx2+Na
3290.1344,Gc_33+Fucx3+Na
3436.1923,Gc_33+Fucx4+Na
2931.9175,Gc_33+S+Na
3011.8743,Gc_33+Sx2+Na
2722.9181,Gc_34+Na
2802.8749,Gc_34+S+Na
2882.8317,Gc_34+Sx2+Na
2868.976,Gc_35+Na
3015.0339,Gc_35+Fuc+Na
3161.0918,Gc_35+Fucx2+Na
3307.1497,Gc_35+Fucx3+Na
3453.2076,Gc_35+Fucx4+Na
2948.9328,Gc_35+S+Na
3028.8896,Gc_35+Sx2+Na
2998.0186,Gc_36+Na
3144.0765,Gc_36+Fuc+Na
3290.1344,Gc_36+Fucx2+Na
3436.1923,Gc_36+Fucx3+Na
3582.2502,Gc_36+Fucx4+Na
3077.9754,Gc_36+S+Na
3157.9322,Gc_36+Sx2+Na
2939.9768,Gc_37+Na
